,EqualWeight,ClassicalMVO,RiskParity,RF,XGBoost,LSTM
2019-11-08,0.0013922950170775304,0.002003478917554056,0.0013922950170775317,0.0010822647120855215,0.0011061216181898054,0.011052624686435728
2019-11-11,-0.001823261188281607,-0.0008196445195553903,-0.0018232611882816074,-0.004394752001985614,-0.0030570241216739727,0.003357586573177298
2019-11-12,-0.0008259037867747655,0.005431282420749314,-0.0008259037867747658,-0.002369337801541035,-0.007467466790025826,0.0008211057058395365
2019-11-13,-0.007503818389788186,0.0029729840166055352,-0.007503818389788186,-0.02141415299130742,-0.0194945304517431,0.002218786755593722
2019-11-14,0.001130949100379269,0.001449448913189705,0.0011309491003792691,0.007292763070075147,0.007930332898515765,-0.002332249648758129
2019-11-15,0.0023382405908289653,0.00548427437682088,0.0023382405908289653,-0.0022281620368695266,-0.0027818005804604805,0.006531309495636856
2019-11-18,-0.0053962387282522955,0.0031359702319384225,-0.005396238728252298,-0.0033770722470050137,-0.007212609496251488,-0.004110313800562301
2019-11-19,-0.00027131342853196547,0.01020084794054143,-0.00027131342853196596,-0.008114619161966485,-0.006577999334052028,0.0033250598961782124
2019-11-20,-0.002753911704727865,0.004155742667557217,-0.0027539117047278654,-0.012986910879923723,-0.012306350781556136,0.0027207173970317266
2019-11-21,7.464706348802069e-05,-0.0029286827409851068,7.46470634880209e-05,0.0009955387410604582,0.0025181323121935112,-0.0022346020961635715
2019-11-22,0.0022839740985313413,0.0006580591708701445,0.002283974098531341,0.00882983925400355,0.008614301933583162,0.000565128943511905
2019-11-25,0.012883643476500185,0.01478632089376377,0.012883643476500187,0.013404475662684975,0.012798570888710534,0.018011142454985113
2019-11-26,0.0008015074003739584,0.0013703204521546206,0.0008015074003739588,-0.004160426653331357,-0.0062408716147472655,-0.0015856822805989344
2019-11-27,0.005059036269759513,0.012261143931351333,0.0050590362697595145,0.002978272765682219,0.0029409365773078824,0.011029854726503932
2019-11-29,-0.01112572102954046,-0.024386200016665322,-0.011125721029540462,-0.009308311148775901,-0.010333070999185538,-0.022666895805873388
2019-12-02,-0.004258168116312869,-0.004165800390323341,-0.00425816811631287,-0.004764971478142913,-0.00827160209764207,0.0018926523491387998
2019-12-03,-0.010763403993682199,-0.0001160283988262698,-0.0107634039936822,-0.014617440602318548,-0.01776322508150883,-0.013952627447075342
2019-12-04,0.007754412267981286,0.002611347459346508,0.007754412267981287,0.008938154046523506,0.0068683764204361146,0.01024533212527112
2019-12-05,0.005987666498601486,0.00331879091684509,0.005987666498601488,0.008386025256682604,0.008046078912079353,0.010503893158848615
2019-12-06,0.01494884773254189,0.013720800701685054,0.014948847732541893,0.026473523767874006,0.02063373471453675,0.012466954866456104
2019-12-09,-0.0062158373358540886,-0.009440546034841998,-0.006215837335854089,-0.006258754637378158,-0.0063091518355712336,0.0016743632852055893
2019-12-10,-0.0005618569290163279,0.002203829844620694,-0.0005618569290163276,-0.010590137843263502,-0.008807410234939432,-0.0007647448198844395
2019-12-11,0.00885002054985006,0.004967664567545042,0.008850020549850061,0.007391370830844161,0.007477880979057169,0.0090599896244505
2019-12-12,0.01399178794305236,-0.0024762990349148526,0.013991787943052362,0.016029358236138942,0.020593782849809252,0.007953387117786745
2019-12-13,-0.00496864404923324,0.0008856361742619833,-0.004968644049233242,0.004337874004098252,0.0012650414128634324,-0.006820759795037698
2019-12-16,0.00602418404709109,0.002511427748549488,0.006024184047091092,0.01763942789087725,0.013779630649525849,0.02219728902893449
2019-12-17,0.00541047020885983,-0.0024412316993669323,0.005410470208859832,0.0034912833055475555,0.004550412195948037,0.006102534756605774
2019-12-18,-0.0002551258875800174,0.00399240057831247,-0.0002551258875800172,0.003623809433382192,0.003067728963889015,0.0024400413841455027
2019-12-19,0.0031850535870113386,0.0020227025337483224,0.0031850535870113386,0.004060667457560096,0.003573097171974559,0.0017546623087166242
2019-12-20,0.005424466951045582,-0.001391586157856,0.0054244669510455845,0.008597747661414582,0.00920939533324409,0.005565666365112158
2019-12-23,0.0026183345646682695,0.004380386212673645,0.0026183345646682695,0.008636614271362876,0.0066544952836204724,-0.004229929929718011
2019-12-24,0.00017549019693485532,-0.0036515228533997184,0.00017549019693485548,0.0006261222697763341,0.00232405769622877,-0.0018333092756043004
2019-12-26,0.0015582856901339725,0.001527066308361957,0.0015582856901339725,-0.0028560200092567446,-0.0011998489806428932,0.003481387197259218
2019-12-27,-0.00036499054308695967,0.0025349771460617576,-0.0003649905430869593,-0.0014202568236126997,-0.0007030028925910526,-0.00018424363537258186
2019-12-30,-0.0006690572674112378,-0.0006942384168520963,-0.0006690572674112377,-0.004504317013746751,-0.005193316116345228,-9.578049443065853e-05
2019-12-31,0.0011197083842943482,0.005828339183869869,0.0011197083842943486,0.003999048616843797,0.0015919157240601987,-0.0017963665023798966
2020-01-02,0.0035479992040839035,0.006158112068754716,0.003547999204083904,0.0034078694033646247,0.006637378219804067,0.0036067809423960804
2020-01-03,-0.005953656851924372,-0.009546852411700153,-0.005953656851924373,-0.01148741033037085,-0.01177044572347451,-0.0027567991931745067
2020-01-06,0.0003257143380610591,0.005349175975541526,0.0003257143380610587,0.0010643449452556178,0.00030052691810635864,-0.0018142542018427753
2020-01-07,-0.0018994412808854683,-0.005731425706106332,-0.0018994412808854692,-2.6750956059858997e-05,-0.0015867825621202175,-0.004854652178575353
2020-01-08,-0.00045413003080617273,-0.0006583491196977001,-0.0004541300308061729,0.003913453902750407,0.0034010771488301532,-0.015484248192556463
2020-01-09,0.004206137109575711,0.009006723899792641,0.004206137109575713,0.0016041194574865404,-0.00031150118421143967,0.0025440082957019056
2020-01-10,-0.004247604578782624,-0.005410346414613681,-0.0042476045787826254,-0.005368716679141355,-0.003879188220221041,-0.004627656070307583
2020-01-13,0.009504509803087334,0.01249702892232676,0.009504509803087336,0.011917908842957039,0.008259803175917015,0.005490943094605712
2020-01-14,0.001404410724757824,-0.005202430874591303,0.0014044107247578245,0.003832800426297954,0.0024073108467137566,-0.0023979789589516115
2020-01-15,-0.006179540784955432,-0.008537470866842905,-0.006179540784955434,-0.0007340614739047566,0.00029457697816805394,0.0015385030258043718
2020-01-16,0.012106337984034906,0.023072131968381756,0.012106337984034907,0.016016745492319174,0.015081167991038837,0.014817564228159054
2020-01-17,-6.218623996773458e-05,-0.0019589272393682553,-6.218623996773425e-05,-0.0037668729606597628,-0.004596265049289477,-0.002508291366215318
2020-01-21,-0.009766641628181808,-0.007227319680117657,-0.00976664162818181,-0.009820026935927725,-0.006305343898334741,-0.00750730977925635
2020-01-22,-0.0037099944413137003,0.005169279029320399,-0.0037099944413137,-0.007492917335199593,-0.0061575599600384966,0.0024318924715810014
2020-01-23,0.006264279770289466,-0.004894357374341546,0.006264279770289468,1.3359560674396173e-05,-0.0006359864816566031,0.021278874958064367
2020-01-24,-0.010980571526288613,-0.008021346688146956,-0.010980571526288615,-0.017592241268554108,-0.02100617770163034,-0.013050339234663769
2020-01-27,-0.01937008100790129,-0.018340447959693217,-0.019370081007901295,-0.02208245553247796,-0.023897308556714812,-0.022180848110790147
2020-01-28,0.010977733109363326,0.016256520745807457,0.01097773310936333,0.004532564528602609,0.0047234807385826486,0.01140995822158351
2020-01-29,-0.0053307084734633475,-0.00560359153540797,-0.005330708473463348,-0.003160689266124122,-0.007062246867068599,-0.004202074975024132
